4K高清,#genre#
CCTV1,http://ott.mobaibox.com/PLTV/3/224/3221228581/index.m3u8
CCTV3,http://ott.mobaibox.com/PLTV/3/224/3221228499/index.m3u8
CCTV5,http://ott.mobaibox.com/PLTV/3/224/3221228502/index.m3u8
CCTV6,http://ott.mobaibox.com/PLTV/3/224/3221228516/index.m3u8
CCTV8,http://ott.mobaibox.com/PLTV/3/224/3221228578/index.m3u8
CCTV16,http://ott.mobaibox.com/PLTV/3/224/3221228168/index.m3u8
CCTV4K,http://ott.mobaibox.com/PLTV/3/224/3221228228/index.m3u8
CCTV8K,http://ott.mobaibox.com/PLTV/3/224/3221228165/index.m3u8
纯享4K,http://ott.mobaibox.com/PLTV/3/224/3221228242/index.m3u8
4K修复,http://ott.mobaibox.com/PLTV/3/224/3221228141/index.m3u8
晴彩竞技,http://ott.mobaibox.com/PLTV/4/224/3221228679/index.m3u8
晴彩篮球,http://ott.mobaibox.com/PLTV/4/224/3221228682/index.m3u8
音乐台4K,http://ott.mobaibox.com/PLTV/4/224/3221228641/index.m3u8

央视,#genre#
CCTV1,http://ott.mobaibox.com/PLTV/3/224/3221228049/index.m3u8
CCTV2,http://ott.mobaibox.com/PLTV/3/224/3221227427/index.m3u8
CCTV3,http://ott.mobaibox.com/PLTV/3/224/3221227424/index.m3u8
CCTV4,http://ott.mobaibox.com/PLTV/3/224/3221227489/index.m3u8
CCTV5,http://ott.mobaibox.com/PLTV/3/224/3221227401/index.m3u8
CCTV5+,http://ott.mobaibox.com/PLTV/3/224/3221228176/index.m3u8
CCTV6,http://ott.mobaibox.com/PLTV/3/224/3221227430/index.m3u8
CCTV7,http://ott.mobaibox.com/PLTV/3/224/3221227626/index.m3u8
CCTV8,http://ott.mobaibox.com/PLTV/3/224/3221227629/index.m3u8
CCTV9,http://ott.mobaibox.com/PLTV/3/224/3221227614/index.m3u8
CCTV10,http://ott.mobaibox.com/PLTV/3/224/3221225550/index.m3u8
CCTV11,http://ott.mobaibox.com/PLTV/3/224/3221227384/index.m3u8
CCTV12,http://ott.mobaibox.com/PLTV/3/224/3221227637/index.m3u8
CCTV13,http://ott.mobaibox.com/PLTV/3/224/3221227387/index.m3u8
CCTV14,http://ott.mobaibox.com/PLTV/3/224/3221227693/index.m3u8
CCTV15,http://ott.mobaibox.com/PLTV/3/224/3221227538/index.m3u8
CCTV16,http://ott.mobaibox.com/PLTV/3/224/3221228112/index.m3u8
CCTV17,http://ott.mobaibox.com/PLTV/3/224/3221227592/index.m3u8
